,n_exp,data_id,stat_test,n,max_iter,type,best_model,f1_score,ini_best,final_best,initial,final
0,0,0,ttest_rel,10,25,cv,XGBClassifier,0.7750617962098324,0.7633544395979258,0.7795386743370726,0.7288436508391501,0.7512076504127594
1,0,0,ttest_rel,10,25,tt,XGBClassifier,0.784859448928472,0.767633809157682,0.7873081802105205,0.7288025627377464,0.7633121953536804
2,0,0,ttest_ind,10,25,cv,RandomForestClassifier,0.7776861775212971,0.7547297544194087,0.774298755349635,0.7278667441103868,0.750864559183213
3,0,0,ttest_ind,10,25,tt,XGBClassifier,0.7828492392807745,0.7569955969149904,0.7782817049835412,0.7274748824008692,0.7470285051413147
4,0,0,mannwhitneyu,10,25,cv,DecisionTreeClassifier,0.7559456398640997,0.7708559190373218,0.7708559190373218,0.7343729992706725,0.7406213448589131
5,0,0,mannwhitneyu,10,25,tt,XGBClassifier,0.7808720112517582,0.7722267404073386,0.8017442980201848,0.7342011078356068,0.7676646444737356
6,0,0,dummy_stats_test,10,25,cv,XGBClassifier,0.7763120965478529,0.768943946687628,0.7779536077455458,0.7342796804241809,0.760133013901894
7,0,0,dummy_stats_test,10,25,tt,XGBClassifier,0.7893142385017902,0.7670429902876867,0.7886787796182891,0.7325013003947694,0.7646545482696525
8,0,1,ttest_rel,10,25,cv,DecisionTreeClassifier,0.9532163742690059,0.9709963841484953,0.9709963841484953,0.8599646955799656,0.9560071389078268
9,0,1,ttest_rel,10,25,tt,DecisionTreeClassifier,0.9623188405797102,0.9572236973381509,0.9572236973381509,0.8586324771060626,0.9405161888342539
10,0,1,ttest_ind,10,25,cv,DecisionTreeClassifier,0.9642857142857143,0.9542441737130142,0.9542441737130142,0.8760066917994414,0.933241099084607
11,0,1,ttest_ind,10,25,tt,DecisionTreeClassifier,0.9667673716012085,0.9466401389363407,0.9466401389363407,0.860640970544967,0.9356217447628413
12,0,1,mannwhitneyu,10,25,cv,DecisionTreeClassifier,0.9455587392550143,0.9493688573227079,0.9493688573227079,0.8577552290733614,0.9368162070680572
13,0,1,mannwhitneyu,10,25,tt,DecisionTreeClassifier,0.9662921348314607,0.9495772610879122,0.975853584714352,0.8365403760656651,0.8999807270117824
14,0,1,dummy_stats_test,10,25,cv,DecisionTreeClassifier,0.9819277108433735,0.9726156442326781,0.9747563576149506,0.8796933571260255,0.9553017341456389
15,0,1,dummy_stats_test,10,25,tt,DecisionTreeClassifier,0.9369369369369371,0.9529688591151386,0.9626713438586328,0.8585774019651649,0.9546301493421453
16,0,2,ttest_rel,10,25,cv,XGBClassifier,0.8829141370338247,0.8732392154885072,0.8732392154885072,0.8109194870342382,0.8566220895543808
17,0,2,ttest_rel,10,25,tt,XGBClassifier,0.9040622299049265,0.8753429577716499,0.8940132773232934,0.8113433172297487,0.8425264695335448
18,0,2,ttest_ind,10,25,cv,DecisionTreeClassifier,0.8785211267605635,0.8787401748058205,0.8787401748058205,0.8110795003413932,0.857619477171673
19,0,2,ttest_ind,10,25,tt,DecisionTreeClassifier,0.8743362831858408,0.8778631248300399,0.8778631248300399,0.8067267328737334,0.858177325232235
20,0,2,mannwhitneyu,10,25,cv,XGBClassifier,0.8832309043020192,0.8609783478990669,0.8609783478990669,0.8082755995998652,0.8413779113633353
21,0,2,mannwhitneyu,10,25,tt,XGBClassifier,0.9039647577092511,0.8694049886579995,0.8830584250253886,0.8087067406292057,0.8478451708291823
22,0,2,dummy_stats_test,10,25,cv,XGBClassifier,0.8983200707338639,0.8785518110187734,0.9016641533777608,0.8138314387223831,0.8668090838826739
23,0,2,dummy_stats_test,10,25,tt,RandomForestClassifier,0.9029385574354408,0.8767502963419778,0.9033457759062553,0.8117055802536084,0.8682708538737933
24,0,3,ttest_rel,10,25,cv,DecisionTreeClassifier,0.9693251533742331,0.9688089909623873,0.9688089909623873,0.8811932434772441,0.9635880170198776
25,0,3,ttest_rel,10,25,tt,DecisionTreeClassifier,0.9693251533742331,0.9470268114951799,0.9470268114951799,0.8620666676329256,0.9499134514893752
26,0,3,ttest_ind,10,25,cv,DecisionTreeClassifier,1.0,0.9605147755036605,0.9605147755036605,0.8755209082166201,0.9416145542553572
27,0,3,ttest_ind,10,25,tt,DecisionTreeClassifier,1.0,0.941051863292841,0.9677768064833181,0.8466323906888984,0.9184273198890238
28,0,3,mannwhitneyu,10,25,cv,DecisionTreeClassifier,0.9425981873111783,0.952125583146373,0.952125583146373,0.8512367532923635,0.9357208251466614
29,0,3,mannwhitneyu,10,25,tt,DecisionTreeClassifier,0.9425981873111783,0.9721558490227171,0.9721558490227171,0.8616585617681748,0.9364480242871199
30,0,3,dummy_stats_test,10,25,cv,DecisionTreeClassifier,1.0,0.9473662407384692,0.976233834425182,0.8522945972025774,0.9580042926109591
31,0,3,dummy_stats_test,10,25,tt,DecisionTreeClassifier,0.9910447761194029,0.9428674035742054,0.9573561084151502,0.8556837997850322,0.9379946462228294
32,0,4,ttest_rel,10,25,cv,RandomForestClassifier,0.49725274725274726,0.5154775676295552,0.5154775676295552,0.4280112965704814,0.42936674806358643
33,0,4,ttest_rel,10,25,tt,RandomForestClassifier,0.49759450171821307,0.5146173751934994,0.5146173751934994,0.4214863954322508,0.4214863954322508
34,0,4,ttest_ind,10,25,cv,XGBClassifier,0.5033467202141901,0.45776566014003733,0.48786468561984603,0.3941485596049782,0.40642559438623227
35,0,4,ttest_ind,10,25,tt,XGBClassifier,0.47201384881708025,0.4631957070477801,0.4833249549425055,0.39628138870778207,0.40131370068146344
36,0,4,mannwhitneyu,10,25,cv,XGBClassifier,0.4832363535605431,0.46688801532847934,0.46688801532847934,0.402960359985564,0.402960359985564
37,0,4,mannwhitneyu,10,25,tt,XGBClassifier,0.4832363535605431,0.4634741942029449,0.4634741942029449,0.39939056824664876,0.39939056824664876
38,0,4,dummy_stats_test,10,25,cv,RandomForestClassifier,0.5035706058511864,0.5123341934487511,0.5123341934487511,0.4317216951873024,0.4385744848675745
39,0,4,dummy_stats_test,10,25,tt,RandomForestClassifier,0.49217248008788794,0.47079718545166643,0.5075102476204889,0.4164830600830983,0.43380669043806747
40,0,0,ttest_rel,30,25,cv,XGBClassifier,0.7864238410596027,0.7772761052093384,0.8001930791095833,0.7377352930413223,0.7659011502993409
